,title_author,pages,genre,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark
32,Red Mars by Kim Stanley Robinson,592,"['fiction', 'science fiction', 'speculative fiction']",3.75,4888,1,0.0053,0.0022,0.0022,0.0001,0.0,0.0018,0.0017000000000000001,0.0022,0.0001,0.0032,0.0007000000000000001,0.004,0.008,0.005699999999999999,0.0043,0.0015,0.0021
33,"My Sister, the Serial Killer by Oyinkan Braithwaite",226,"['fiction', 'contemporary', 'crime', 'thriller']",3.68,60172,0,0.0039000000000000003,0.0046,0.0013,0.0036,0.0005,0.0019,0.0,0.0,0.0,0.0048,0.0008,0.0014000000000000002,0.0008,0.0009,0.0,0.0033,0.009000000000000001
35,The Dangers of Smoking in Bed by Mariana Enríquez,187,"['fiction', 'literary', 'magical realism', 'short stories']",3.76,9267,0,0.005,0.001,0.003,0.0004,0.0,0.0016,0.0,0.0,0.0,0.005600000000000001,0.0017000000000000001,0.0015,0.0007000000000000001,0.0021,0.0,0.0074,0.0097
36,Ex Libris: Confessions of a Common Reader by Anne Fadiman,144,"['nonfiction', 'essays', 'memoir']",4.06,2021,0,0.0,0.0,0.0,0.006500000000000001,0.0068000000000000005,0.0012,0.0009,0.0034999999999999996,0.0045000000000000005,0.0,0.0,0.0066,0.0001,0.0002,0.0054,0.0,0.0
37,Nettle & Bone by T. Kingfisher,292,"['fiction', 'fantasy']",4.18,16311,0,0.005699999999999999,0.0014000000000000002,0.0027,0.0051,0.0016,0.0032,0.0026,0.0009,0.0003,0.0016,0.0007000000000000001,0.0006,0.0092,0.0006,0.0,0.0031,0.0059
38,"Thanks, Obama: My Hopey, Changey White House Years by David Litt",320,"['nonfiction', 'autobiography', 'biography', 'politics']",4.03,1017,0,0.0,0.0,0.0,0.0089,0.0042,0.001,0.0052,0.0036,0.0,0.0,0.0,0.0052,0.0,0.0005,0.0068000000000000005,0.0,0.0
39,The Light Through the Leaves by Glendy Vanderah,463,"['fiction', 'contemporary']",4.31,1292,0,0.0037,0.0052,0.0009,0.0006,0.0003,0.0092,0.004699999999999999,0.0027,0.0001,0.0021,0.0042,0.004,0.0024,0.0021,0.0002,0.0028000000000000004,0.0029
40,The Graham Effect by Elle Kennedy,496,"['fiction', 'contemporary', 'romance', 'sports']",4.18,7666,1,0.0036,0.005600000000000001,0.0006,0.0077,0.0078000000000000005,0.0058,0.0029,0.0013,0.0016,0.0004,0.0008,0.0008,0.0007000000000000001,0.0003,0.0,0.0001,0.0002
41,Camp Zero by Michelle Min Sterling,294,"['fiction', 'dystopian', 'literary', 'science fiction', 'speculative fiction']",3.27,2589,0,0.0053,0.0025,0.002,0.0,0.0,0.0017000000000000001,0.0006,0.0002,0.0,0.004,0.002,0.0028000000000000004,0.0049,0.0028000000000000004,0.0003,0.0054,0.0069
42,Only for the Week by Natasha Bishop,244,"['fiction', 'romance']",4.43,2070,0,0.0044,0.0046,0.0008,0.0066,0.0055000000000000005,0.0068000000000000005,0.0037,0.002,0.0021,0.0017000000000000001,0.0004,0.0023,0.0025,0.0005,0.0,0.0,0.0
45,Vengeful by V.E. Schwab,402,"['fiction', 'fantasy', 'science fiction']",4.17,25150,1,0.005600000000000001,0.0028000000000000004,0.0014000000000000002,0.0004,0.0,0.0022,0.0001,0.0,0.0,0.006999999999999999,0.0008,0.0005,0.0066,0.0016,0.0,0.0051,0.0091
46,The Sea of Monsters by Rick Riordan,279,"['fiction', 'fantasy', 'middle grade']",4.14,109293,1,0.0053,0.0004,0.0040999999999999995,0.006999999999999999,0.0048,0.0018,0.0014000000000000002,0.0011,0.0005,0.0016,0.0001,0.0002,0.0098,0.001,0.0003,0.0023,0.0002
47,Cruel Seduction by Katee Robert,384,"['fiction', 'fantasy', 'lgbtqia+', 'romance']",3.72,4046,1,0.0060999999999999995,0.0025,0.0012,0.0012,0.0006,0.0059,0.0011,0.0001,0.0003,0.0055000000000000005,0.0004,0.0004,0.0034999999999999996,0.0013,0.0001,0.0031,0.006500000000000001
48,"Take a Hint, Dani Brown by Talia Hibbert",400,"['fiction', 'contemporary', 'lgbtqia+', 'romance']",4.12,34539,1,0.0025,0.006999999999999999,0.0004,0.008199999999999999,0.0079,0.0062,0.0044,0.0018,0.0016,0.0001,0.0002,0.0013,0.0004,0.0001,0.0001,0.0,0.0
50,Time to Shine by Rachel Reid,350,"['fiction', 'lgbtqia+', 'romance', 'sports']",4.16,1458,0,0.0027,0.0068000000000000005,0.0003,0.0073,0.008199999999999999,0.0069,0.0044,0.0012,0.0011,0.0,0.0004,0.0007000000000000001,0.0003,0.0001,0.0,0.0,0.0
51,The Color Purple by Alice Walker,256,"['fiction', 'classics', 'historical', 'lgbtqia+', 'literary']",4.27,48443,1,0.0023,0.0074,0.0002,0.0007000000000000001,0.0001,0.0089,0.0046,0.0037,0.0001,0.0015,0.0058,0.0064,0.0004,0.0042,0.0011,0.0001,0.0038
52,Castle in the Air by Diana Wynne Jones,392,"['fiction', 'fantasy', 'middle grade']",3.73,8035,1,0.0044,0.0011,0.0043,0.006500000000000001,0.0078000000000000005,0.0004,0.0013,0.0006,0.0015,0.0001,0.0,0.0,0.0095,0.0002,0.0,0.0017000000000000001,0.0
54,The Paper Menagerie and Other Stories by Ken Liu,464,"['fiction', 'science fiction', 'short stories', 'speculative fiction']",4.36,5489,0,0.0062,0.001,0.0017000000000000001,0.0008,0.0002,0.0073,0.0022,0.0026,0.0002,0.0017000000000000001,0.0040999999999999995,0.0078000000000000005,0.0034000000000000002,0.0049,0.0038,0.0023,0.004699999999999999
56,It's in His Kiss by Julia Quinn,384,"['fiction', 'historical', 'romance']",3.86,16691,1,0.0045000000000000005,0.0037,0.0016,0.0060999999999999995,0.0086,0.0033,0.0019,0.0004,0.0016,0.0003,0.0001,0.0002,0.0034999999999999996,0.0001,0.0,0.002,0.0
57,The Hollow Places by T. Kingfisher,341,"['fiction', 'fantasy', 'tense']",3.85,7664,0,0.0038,0.0008,0.0052,0.0036,0.0003,0.0009,0.0004,0.0,0.0,0.0072,0.0001,0.0002,0.0058,0.0007000000000000001,0.0,0.0077,0.0084
58,Zachary Ying and the Dragon Emperor by Xiran Jay Zhao,352,"['fiction', 'fantasy', 'middle grade', 'science fiction']",4.14,1418,0,0.006500000000000001,0.0007000000000000001,0.0027,0.005600000000000001,0.0019,0.0039000000000000003,0.0011,0.0016,0.0,0.0025,0.0003,0.0008,0.009899999999999999,0.0009,0.0042,0.0024,0.0004
59,Less by Andrew Sean Greer,271,"['fiction', 'contemporary', 'lgbtqia+', 'literary']",3.66,25533,1,0.0023,0.0072,0.0004,0.0070999999999999995,0.0046,0.0046,0.0042,0.0019,0.0008,0.0,0.001,0.0066,0.0040999999999999995,0.0002,0.0,0.0,0.0001
61,Honey and Spice by Bolu Babalola,368,"['fiction', 'contemporary', 'romance']",4.13,7520,0,0.0045000000000000005,0.004699999999999999,0.0007000000000000001,0.008199999999999999,0.0064,0.0064,0.0034999999999999996,0.0023,0.0012,0.0003,0.0002,0.0021,0.0003,0.0004,0.0003,0.0,0.0
64,Geekerella by Ashley Poston,320,"['fiction', 'contemporary', 'romance', 'young adult']",3.91,14638,1,0.0045000000000000005,0.0034999999999999996,0.0018,0.0060999999999999995,0.0086,0.0038,0.0046,0.0019,0.0014000000000000002,0.0002,0.0007000000000000001,0.0004,0.0017000000000000001,0.0001,0.0,0.0,0.0
65,Thick: And Other Essays by Tressie McMillan Cottom,248,"['nonfiction', 'essays', 'feminism', 'race']",4.48,4461,0,0.0,0.0,0.0,0.0018,0.0,0.0027,0.0007000000000000001,0.0022,0.0,0.0003,0.0003,0.008,0.0,0.006,0.0085,0.0,0.0002
66,Agnes and the Hitman by Jennifer Crusie,421,"['fiction', 'mystery', 'romance']",3.84,1399,1,0.0036,0.002,0.0044,0.0096,0.0067,0.0006,0.0009,0.0003,0.0003,0.0,0.0,0.0,0.0051,0.0,0.0,0.0040999999999999995,0.0006
67,A Canticle for Leibowitz by Walter M. Miller Jr.,334,"['fiction', 'classics', 'science fiction']",3.87,6610,1,0.0043,0.0011,0.0042,0.0027,0.0001,0.0018,0.0013,0.0008,0.0001,0.0014000000000000002,0.0032,0.0070999999999999995,0.002,0.0055000000000000005,0.0003,0.0025,0.0069
68,Vera Wong's Unsolicited Advice for Murderers by Jesse Q. Sutanto,384,"['fiction', 'contemporary', 'mystery']",4.1,10036,0,0.006,0.0028000000000000004,0.0011,0.0086,0.006999999999999999,0.0034000000000000002,0.0029,0.0011,0.0011,0.0003,0.0005,0.0007000000000000001,0.0022,0.0001,0.0,0.0075,0.0001
70,Things We Left Behind by Lucy Score,581,"['fiction', 'contemporary', 'romance']",4.34,12090,1,0.006500000000000001,0.0029,0.0005,0.0066,0.0043,0.0084,0.0044,0.0015,0.0006,0.0025,0.0018,0.0014000000000000002,0.0018,0.0011,0.0,0.0023,0.0015
71,Her Soul to Take by Harley Laroux,478,"['fiction', 'erotica', 'fantasy', 'lgbtqia+', 'romance']",3.96,8749,1,0.0064,0.0013,0.0022,0.0014000000000000002,0.0001,0.0032,0.0002,0.0,0.0,0.005699999999999999,0.0005,0.0001,0.0048,0.0015,0.0,0.006,0.0097
72,Devious Lies by Parker S. Huntington,702,"['fiction', 'contemporary', 'romance']",3.84,2915,1,0.0053,0.0034999999999999996,0.001,0.0025,0.0013,0.0077,0.0022,0.0005,0.0001,0.004,0.0017000000000000001,0.0015,0.0012,0.0018,0.0002,0.0033,0.0038
73,Into the Dark by Jessa Hastings,710,"['fiction', 'contemporary', 'romance']",4.59,1445,1,0.0019,0.0078000000000000005,0.0001,0.0048,0.0011,0.0097,0.0054,0.0024,0.0003,0.0016,0.0067,0.0045000000000000005,0.0008,0.0023,0.0001,0.0001,0.0027
74,Twisted Lies by Ana Huang,560,"['fiction', 'contemporary', 'romance']",4.12,29764,1,0.005699999999999999,0.0033,0.0008,0.0031,0.0019,0.0075,0.0023,0.0007000000000000001,0.0007000000000000001,0.0040999999999999995,0.0013,0.0007000000000000001,0.0016,0.0013,0.0,0.0036,0.006500000000000001
75,Killer Instinct by Jennifer Lynn Barnes,375,"['fiction', 'mystery', 'thriller', 'young adult']",4.24,9046,1,0.0067,0.0005,0.0026,0.0016,0.0003,0.004,0.0006,0.0002,0.0001,0.006999999999999999,0.0009,0.0006,0.0062,0.0027,0.0006,0.0089,0.0060999999999999995
78,How Far the Light Reaches: A Life in Ten Sea Creatures by Sabrina Imbler,263,"['nonfiction', 'essays', 'lgbtqia+', 'memoir', 'race', 'science']",4.31,2667,0,0.0,0.0,0.0,0.001,0.0001,0.0073,0.0034000000000000002,0.0037,0.0003,0.0001,0.0011,0.0088,0.0008,0.0018,0.0078000000000000005,0.0002,0.0006
79,Thirteen by Steve Cavanagh,356,"['fiction', 'crime', 'mystery', 'thriller']",4.14,6515,1,0.0040999999999999995,0.0011,0.004699999999999999,0.0002,0.0,0.0006,0.0001,0.0,0.0,0.008199999999999999,0.0002,0.0001,0.0026,0.0016,0.0004,0.008,0.0077
80,"Monstress, Vol. 2: The Blood by Marjorie Liu",152,"['fiction', 'comics', 'fantasy']",4.26,4853,1,0.0067,0.0013,0.0018,0.0003,0.0,0.0027,0.0,0.0,0.0,0.0053,0.0012,0.0005,0.008,0.0024,0.0001,0.0064,0.0096
81,Hunger: A Memoir of (My) Body by Roxane Gay,306,"['nonfiction', 'feminism', 'memoir']",4.31,19703,0,0.0,0.0,0.0,0.0004,0.0,0.0083,0.0017000000000000001,0.0027,0.0,0.0011,0.004699999999999999,0.0078000000000000005,0.0,0.0051,0.0028000000000000004,0.0,0.0036
82,The Screaming Staircase by Jonathan Stroud,416,"['fiction', 'fantasy', 'middle grade', 'mystery']",4.19,7520,1,0.0053,0.0004,0.0040999999999999995,0.0053,0.0018,0.001,0.0004,0.0002,0.0002,0.0036,0.0002,0.0001,0.009399999999999999,0.0007000000000000001,0.0,0.0086,0.0042
83,The Swallows by Lisa Lutz,416,"['fiction', 'mystery', 'thriller']",3.68,1471,0,0.0053,0.001,0.0034999999999999996,0.0017000000000000001,0.0,0.0023,0.0003,0.0007000000000000001,0.0,0.0062,0.001,0.0007000000000000001,0.0018,0.0027,0.0001,0.0053,0.0084
84,Far from the Madding Crowd by Thomas Hardy,480,"['fiction', 'classics', 'literary', 'romance']",3.84,9067,0,0.0038,0.0052,0.0008,0.0015,0.0011,0.0072,0.002,0.0007000000000000001,0.0012,0.0017000000000000001,0.0026,0.005600000000000001,0.0011,0.0017000000000000001,0.0002,0.0004,0.0013
86,Camp Damascus by Chuck Tingle,246,"['fiction', 'lgbtqia+']",4.07,3198,0,0.0064,0.0017000000000000001,0.0017000000000000001,0.0014000000000000002,0.0,0.0052,0.0031,0.0011,0.0,0.0063,0.0014000000000000002,0.0016,0.0034999999999999996,0.0023,0.0002,0.004699999999999999,0.0088
88,Tell Me Lies by Carola Lovering,384,"['fiction', 'contemporary', 'romance']",3.29,4457,0,0.0017000000000000001,0.0079,0.0003,0.0002,0.0001,0.0070999999999999995,0.0004,0.0001,0.0,0.004699999999999999,0.0040999999999999995,0.0032,0.0001,0.0024,0.0,0.0011,0.0053
