,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism
23,144,4.06,2021,0,0.0,0.0,0.0,0.65,0.6799999999999999,0.12,0.09,0.34999999999999,0.44999999999999996,0.0,0.0,0.66,0.01,0.02,0.54,0.0,0.0,2,4.2299999999999995,0,1,1,0,0,0,0,0,1
24,292,4.18,16311,0,0.56999999999999,0.13999999999999999,0.27,0.51,0.16,0.32,0.26,0.09,0.03,0.16,0.06999999999999999,0.06,0.9199999999999999,0.06,0.0,0.31,0.59,16,4.0633333333333335,1,0,0,1,0,0,0,0,0
25,320,4.03,1017,0,0.0,0.0,0.0,0.89,0.42,0.1,0.52,0.36,0.0,0.0,0.0,0.52,0.0,0.05,0.6799999999999999,0.0,0.0,1,0.0,0,1,0,0,0,1,0,0,1
26,463,4.31,1292,0,0.37,0.52,0.09,0.06,0.03,0.9199999999999999,0.46999999999999,0.27,0.01,0.21,0.42,0.4,0.24,0.21,0.02,0.27999999999999997,0.29,1,0.0,1,0,0,0,0,0,0,0,1
27,496,4.18,7666,1,0.36,0.5599999999999999,0.06,0.77,0.7799999999999999,0.58,0.29,0.13,0.16,0.04,0.08,0.08,0.06999999999999999,0.03,0.0,0.01,0.02,8,3.7642857142857147,1,1,0,0,0,0,0,1,1
28,294,3.27,2589,0,0.53,0.25,0.2,0.0,0.0,0.16999999999999998,0.06,0.02,0.0,0.4,0.2,0.27999999999999997,0.49,0.27999999999999997,0.03,0.54,0.69,1,0.0,1,0,1,1,0,0,0,0,0
29,244,4.43,2070,0,0.44,0.45999999999999996,0.08,0.66,0.5499999999999999,0.6799999999999999,0.37,0.2,0.21,0.16999999999999998,0.04,0.22999999999999998,0.25,0.05,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,0,1,0
30,402,4.17,25150,1,0.5599999999999999,0.27999999999999997,0.13999999999999999,0.04,0.0,0.22,0.01,0.0,0.0,0.6999999999999901,0.08,0.05,0.66,0.16,0.0,0.51,0.91,13,4.06,1,0,0,1,0,0,0,0,0
31,279,4.14,109293,1,0.53,0.04,0.40999999999999,0.6999999999999901,0.48,0.18,0.13999999999999999,0.11,0.05,0.16,0.01,0.02,0.98,0.1,0.03,0.22999999999999998,0.02,27,4.231538461538461,1,0,0,1,0,0,1,0,0
32,384,3.72,4046,1,0.60999999999999,0.25,0.12,0.12,0.06,0.59,0.11,0.01,0.03,0.5499999999999999,0.04,0.04,0.34999999999999,0.13,0.01,0.31,0.65,18,3.6105882352941174,1,0,0,1,0,1,0,1,0
33,400,4.12,34539,1,0.25,0.6999999999999901,0.04,0.81999999999999,0.79,0.62,0.44,0.18,0.16,0.01,0.02,0.13,0.04,0.01,0.01,0.0,0.0,6,3.9099999999999993,1,0,0,0,0,1,0,1,1
34,350,4.16,1458,0,0.27,0.6799999999999999,0.03,0.73,0.81999999999999,0.69,0.44,0.12,0.11,0.0,0.04,0.06999999999999999,0.03,0.01,0.0,0.0,0.0,2,4.35,1,1,0,0,0,1,0,1,0
35,256,4.27,48443,1,0.22999999999999998,0.74,0.02,0.06999999999999999,0.01,0.89,0.45999999999999996,0.37,0.01,0.15,0.58,0.64,0.04,0.42,0.11,0.01,0.38,1,0.0,1,0,1,0,0,1,0,0,0
36,392,3.73,8035,1,0.44,0.11,0.43,0.65,0.7799999999999999,0.04,0.13,0.06,0.15,0.01,0.0,0.0,0.95,0.02,0.0,0.16999999999999998,0.0,4,4.07,1,0,0,1,0,0,1,0,0
37,464,4.36,5489,0,0.62,0.1,0.16999999999999998,0.08,0.02,0.73,0.22,0.26,0.02,0.16999999999999998,0.40999999999999,0.7799999999999999,0.33999999999999997,0.49,0.38,0.22999999999999998,0.46999999999999,4,4.023333333333333,1,0,1,1,0,0,0,0,0
38,384,3.86,16691,1,0.44999999999999996,0.37,0.16,0.60999999999999,0.86,0.33,0.19,0.04,0.16,0.03,0.01,0.02,0.34999999999999,0.01,0.0,0.2,0.0,12,3.674545454545455,1,0,1,0,0,0,0,1,0
39,341,3.85,7664,0,0.38,0.08,0.52,0.36,0.03,0.09,0.04,0.0,0.0,0.72,0.01,0.02,0.58,0.06999999999999999,0.0,0.77,0.84,16,4.085333333333333,1,0,0,1,0,0,0,0,0
40,352,4.14,1418,0,0.65,0.06999999999999999,0.27,0.5599999999999999,0.19,0.38999999999999996,0.11,0.16,0.0,0.25,0.03,0.08,0.98999999999999,0.09,0.42,0.24,0.04,2,4.169999999999999,1,0,0,1,0,0,1,0,0
41,271,3.66,25533,1,0.22999999999999998,0.72,0.04,0.70999999999999,0.45999999999999996,0.45999999999999996,0.42,0.19,0.08,0.0,0.1,0.66,0.40999999999999,0.02,0.0,0.0,0.01,1,0.0,1,0,1,0,0,1,0,0,1
42,368,4.13,7520,0,0.44999999999999996,0.46999999999999,0.06999999999999999,0.81999999999999,0.64,0.64,0.34999999999999,0.22999999999999998,0.12,0.03,0.02,0.21,0.03,0.04,0.03,0.0,0.0,3,4.074999999999999,1,0,0,0,0,0,0,1,1
43,320,3.91,14638,1,0.44999999999999996,0.34999999999999,0.18,0.60999999999999,0.86,0.38,0.45999999999999996,0.19,0.13999999999999999,0.02,0.06999999999999999,0.04,0.16999999999999998,0.01,0.0,0.0,0.0,5,3.875,1,0,0,0,0,0,1,1,1
