,stars,index_0,reflective_boxcox,mix_qt,inspiring_log,informative_boxcox,funny_qt,emotional_boxcox,challenging_mm,author_stars,Crime_author_stars,Fantasy_author_stars,Fantasy_inspiring_log,Fantasy_mix_qt,Fiction_adventurous_qt,Fiction_author_count_ss,Fiction_challenging_mm,Fiction_character_ss,Fiction_dark_ss,Fiction_emotional_boxcox,Fiction_hopeful_rs,Fiction_mysterious_rs,Fiction_pages_qt,Fiction_plot_qt,Fiction_reviews_boxcox,Fiction_sad_mm,Fiction_tense,Literary_author_stars,Literary_emotional_boxcox,Literary_hopeful_rs,Literary_inspiring_log,Literary_mysterious_rs,Nonfiction_author_stars,Nonfiction_challenging_mm,Romans_author_stars,Social_author_stars,series_author_count_ss,series_author_stars,series_mix_qt,lighthearted_mm_relaxing
0,4.0,0,1.6463220498745206,0.576076076076076,-1.0498221244987063,6.6561291047422255,0.6871871871871872,0.09136327964534502,0.07291666666666656,4.305,0.0,0.0,-0.0,0.0,0.3783783783783784,-0.22940234922121355,0.07291666666666656,0.7197735637861169,-1.0875732213292724,0.09136327964534502,1.7307692307692306,-0.34615384615384615,0.2682682682682682,0.1996996996996997,-3.0682753589263836,0.12765957446808646,0.21,0.0,0.0,0.0,-0.0,-0.0,4.305,0.07291666666666656,4.305,4.305,-0.0,0.0,0.0,0.4399999999999999
1,3.78,1,2.233286832692928,0.508008008008008,0.0,-0.0,0.2802802802802803,1.0145312835519062,0.09375,3.67,3.67,0.0,0.0,0.0,0.30930930930930933,-0.37259801487632166,0.09375,0.3803799115139808,1.0232679092369066,1.0145312835519062,-0.5,1.1923076923076925,0.3388388388388388,0.6481481481481481,-3.1866882836800854,0.0531914893617027,0.63,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.01
2,4.15,2,0.39224981061287195,0.7022022022022022,-1.2729656758128878,2.6203419263291403,0.2302302302302302,0.12245857907100541,0.1875,0.0,0.0,0.0,-0.0,0.0,0.544044044044044,-0.5157936805314298,0.1875,0.2672486940899352,-0.7771554080107166,0.12245857907100541,0.8461538461538076,0.4807692307692307,0.7127127127127126,0.4169169169169169,-3.242326488465287,0.3617021276595782,0.1,0.0,0.12245857907100541,0.8461538461538076,-1.2729656758128878,0.4807692307692307,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.02
3,4.16,3,1.8105148217489204,0.6461461461461462,-3.506557897319982,3.7895784706862647,0.3203203203203203,1.233107470194216,0.15625,0.0,0.0,0.0,-3.506557897319982,0.6461461461461462,0.9374374374374375,-0.5157936805314298,0.15625,-0.8263530743425026,-0.46673759469216075,1.233107470194216,-0.38461538461538464,0.7499999999999807,0.8341016970049229,0.9169169169169169,-3.0741231556389144,0.0,0.5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.5157936805314298,0.0,0.6461461461461462,0.03
4,3.65,4,2.121078538340599,0.3458458458458459,-4.605170185988091,6.6561291047422255,0.987987987987988,-0.0,0.0,4.115,0.0,4.115,-4.605170185988091,0.3458458458458459,0.8293293293293293,3.2072936265013805,0.0,-0.600090639494412,-1.0565314399974166,-0.0,-0.38461538461538464,-0.2692307692307692,0.07407407407407407,0.9669669669669669,-3.179029353000969,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.2072936265013805,4.115,0.3458458458458459,0.8099999999999999
5,4.23,5,0.22810993905466126,0.21921921921921922,-2.120263536200091,0.3368010961519751,0.16666666666666666,0.5283804890044972,0.2916666666666666,0.0,0.0,0.0,-0.0,0.0,0.0,-0.5157936805314298,0.2916666666666666,1.5494024915624491,-0.6529882826832946,0.5283804890044972,-0.4230769230769231,-0.34615384615384615,0.07911065149948295,0.3818818818818819,-3.2780153261512335,0.5319148936170269,0.1,0.0,0.5283804890044972,-0.4230769230769231,-2.120263536200091,-0.34615384615384615,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
6,4.14,6,1.046088193809372,0.576076076076076,-2.995732273553991,-0.0,0.46096096096096095,0.7797923540281085,0.15625,4.0841666666666665,0.0,4.0841666666666665,-2.995732273553991,0.576076076076076,0.6696696696696697,2.9209022951911647,0.15625,-0.33611779883830656,1.675145317205874,0.7797923540281085,-0.2692307692307693,0.8076923076923076,0.07407407407407407,0.8433433433433433,-3.2098491275764176,0.2234042553191513,0.21,0.0,0.0,-0.0,-0.0,0.0,4.0841666666666665,0.15625,0.0,0.0,2.9209022951911647,4.0841666666666665,0.576076076076076,0.03
7,3.53,7,0.9310819970197907,0.4189189189189189,-4.605170185988091,6.6561291047422255,0.2302302302302302,0.5532415010057324,0.2916666666666666,0.0,0.0,0.0,-4.605170185988091,0.4189189189189189,0.2807807807807808,-0.5157936805314298,0.2916666666666666,0.8706151870181771,1.6130617545421624,0.5532415010057324,-0.4230769230769231,0.5961538461538461,0.09909909909909909,0.48098098098098097,-3.05433614972244,0.4574468085106432,0.34999999999999,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
8,3.97,8,2.233286832692928,0.6281281281281281,0.0,-0.0,0.3203203203203203,0.9472040820410473,0.09375,3.89,3.89,0.0,0.0,0.0,0.17267267267267267,-0.37259801487632166,0.09375,-0.6378010453024271,1.8303542238651207,0.9472040820410473,-0.5,1.0576923076923077,0.3773773773773774,0.9009009009009008,-3.1995671494630726,0.14893617021276745,0.76,3.89,0.9472040820410473,-0.5,0.0,1.0576923076923077,0.0,0.0,0.0,0.0,-0.37259801487632166,3.89,0.6281281281281281,0.0
9,3.55,9,0.8678278434731417,0.3763763763763764,-3.506557897319982,3.5066841674331712,0.0,0.2071079449297675,0.28125000000000006,0.0,0.0,0.0,-0.0,0.0,0.17267267267267267,-0.5157936805314298,0.28125000000000006,0.8706151870181771,1.4578528478828536,0.2071079449297675,-0.38461538461538464,0.09615384615384596,0.30180180180180183,0.532032032032032,-3.3159714447326447,0.8191489361702214,0.40999999999999,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
