,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,Literature and Art,Fiction,Science,Crime,Psychology,Social,Children,Romans,Biography,Entertainment
6270,358,3.69,2085,1,0.3399999999999999,0.52,0.11,0.31,0.59,0.65,0.2299999999999999,0.0699999999999999,0.06,0.0699999999999999,0.13,0.0699999999999999,0.0699999999999999,0.04,0.0,0.0,0.05,1,1,0,0,0,0,0,1,0,0
3742,250,3.83,3482,0,0.0,0.0,0.0,0.97,0.4599999999999999,0.32,0.06,0.06,0.03,0.0,0.0699999999999999,0.40999999999999,0.02,0.04,0.05,0.0,0.1,1,0,1,0,0,0,0,0,1,0
3410,515,3.93,13576,1,0.48,0.06,0.44,0.03,0.0,0.58,0.09,0.12,0.0,0.8,0.2799999999999999,0.21,0.11,0.37,0.11,0.21,0.63,0,1,0,1,0,0,0,0,0,0
796,364,4.15,5326,0,0.0,0.0,0.0,0.04,0.0,0.37,0.37,0.89,0.0,0.15,0.05,0.56999999999999,0.26,0.46999999999999,0.38,0.0,0.19,0,0,1,0,1,0,0,0,1,0
4024,371,3.56,1684,1,0.5,0.26,0.2299999999999999,0.58,0.8699999999999999,0.37,0.2299999999999999,0.0699999999999999,0.22,0.08,0.01,0.05,0.3,0.01,0.0,0.09,0.0,0,1,1,0,0,0,0,1,0,0
5109,528,4.27,21296,1,0.60999999999999,0.25,0.13,0.0,0.0,0.81999999999999,0.25,0.34999999999999,0.0,0.4499999999999999,0.36,0.63,0.01,0.6,0.37,0.01,0.1699999999999999,1,1,0,0,0,0,0,0,0,0
2718,400,3.73,1846,0,0.58,0.2,0.2,0.0699999999999999,0.0,0.3399999999999999,0.01,0.0,0.0,0.75,0.29,0.04,0.02,0.13,0.0,0.72,0.96,0,1,0,1,0,0,0,0,0,0
6727,368,3.88,2127,0,0.36,0.59,0.04,0.18,0.13,0.8699999999999999,0.49,0.21,0.05,0.12,0.49,0.52,0.03,0.12,0.01,0.33,0.2299999999999999,1,1,0,0,0,0,0,1,0,0
3940,445,3.83,7900,0,0.22,0.73,0.03,0.52,0.06,0.65,0.08,0.05,0.02,0.16,0.18,0.72,0.02,0.27,0.06,0.02,0.08,1,1,0,0,0,0,0,0,0,0
2726,320,3.94,5005,0,0.2799999999999999,0.65,0.05,0.04,0.02,0.89,0.31,0.18,0.0,0.1399999999999999,0.73,0.4599999999999999,0.02,0.22,0.12,0.0,0.11,1,1,0,0,0,0,0,0,0,0
325,384,3.81,1337,0,0.3899999999999999,0.04,0.5499999999999999,0.34999999999999,0.26,0.09,0.04,0.01,0.03,0.3,0.0,0.01,0.72,0.03,0.04,0.89,0.03,0,1,0,0,0,0,0,0,0,0
1208,294,3.95,16465,0,0.5499999999999999,0.22,0.22,0.0,0.0,0.8699999999999999,0.11,0.13,0.0,0.2,0.8500000000000001,0.42,0.08,0.26,0.38,0.1399999999999999,0.46999999999999,0,1,1,0,0,0,0,0,0,0
2313,242,3.57,1047,1,0.52,0.37,0.09,0.08,0.05,0.37,0.03,0.02,0.0,0.56999999999999,0.1,0.03,0.18,0.12,0.01,0.36,0.8,1,1,0,0,0,1,0,1,0,0
5430,584,3.93,22257,1,0.58,0.1699999999999999,0.22,0.08,0.03,0.49,0.11,0.05,0.02,0.2799999999999999,0.08,0.09,0.89,0.12,0.12,0.67,0.3899999999999999,0,1,1,1,0,0,0,1,0,0
3104,400,3.72,4171,0,0.4499999999999999,0.4499999999999999,0.08,0.63,0.89,0.24,0.31,0.26,0.18,0.03,0.01,0.11,0.18,0.02,0.16,0.04,0.0,1,1,0,0,0,0,1,1,0,0
4802,160,4.25,7732,1,0.37,0.40999999999999,0.21,0.22,0.0699999999999999,0.42,0.22,0.11,0.01,0.19,0.11,0.1699999999999999,0.8500000000000001,0.08,0.18,0.5599999999999999,0.18,0,1,0,0,0,0,0,0,0,0
2804,351,3.63,7545,1,0.2799999999999999,0.64,0.0699999999999999,0.69,0.79,0.4499999999999999,0.33,0.38,0.11,0.01,0.02,0.1699999999999999,0.02,0.03,0.04,0.0,0.0,0,1,0,0,0,0,0,1,0,0
2001,1037,4.13,29168,0,0.56999999999999,0.3399999999999999,0.0699999999999999,0.12,0.03,0.83,0.18,0.1699999999999999,0.02,0.3399999999999999,0.56999999999999,0.43,0.4,0.43,0.1699999999999999,0.01,0.25,1,1,1,0,0,0,0,1,0,0
6760,325,3.98,1904,0,0.26,0.6799999999999999,0.04,0.74,0.6799999999999999,0.65,0.48,0.16,0.15,0.04,0.05,0.16,0.03,0.03,0.05,0.0,0.0,1,1,0,0,0,1,0,1,0,0
4043,480,3.64,1187,0,0.1399999999999999,0.8,0.06,0.0,0.0,0.26,0.0,0.0,0.0,0.46999999999999,0.4599999999999999,0.42,0.01,0.3399999999999999,0.0,0.36,0.98,0,1,0,1,0,0,0,0,0,0
4836,430,3.86,28481,1,0.5,0.06,0.42,0.1699999999999999,0.03,0.2299999999999999,0.01,0.03,0.0,0.48,0.1,0.03,0.70999999999999,0.13,0.1,0.8999999999999999,0.79,0,1,1,0,0,0,1,0,0,0
5237,464,3.8,22514,1,0.62,0.12,0.24,0.22,0.04,0.75,0.24,0.1,0.01,0.65,0.31,0.0699999999999999,0.8099999999999999,0.33,0.02,0.25,0.53,0,1,0,0,0,0,1,1,0,0
6263,304,3.84,11220,1,0.24,0.06,0.6799999999999999,0.29,0.2799999999999999,0.01,0.0,0.0,0.13,0.11,0.0,0.05,0.24,0.05,0.01,0.96,0.06,1,1,0,1,0,0,0,0,0,0
1347,120,4.24,2412,0,0.0,0.0,0.0,0.95,0.76,0.2299999999999999,0.03,0.03,0.19,0.02,0.0699999999999999,0.03,0.06,0.0,0.01,0.05,0.15,0,0,1,0,0,0,0,0,0,1
5852,222,3.52,1186,0,0.3,0.19,0.5,0.8699999999999999,0.56999999999999,0.05,0.03,0.0,0.12,0.01,0.0,0.1399999999999999,0.34999999999999,0.05,0.05,0.0,0.0699999999999999,1,1,0,0,0,0,0,0,0,0
2733,352,3.56,23097,0,0.27,0.08,0.63,0.11,0.26,0.03,0.03,0.06,0.03,0.22,0.0,0.02,0.98,0.06,0.01,0.25,0.09,1,1,0,0,0,0,1,0,0,0
2840,336,3.61,1006,0,0.38,0.52,0.08,0.3,0.05,0.25,0.0,0.0,0.0,0.72,0.08,0.2,0.0699999999999999,0.09,0.0,0.5,0.59,1,1,0,0,0,0,0,0,0,0
37,464,4.36,5489,0,0.62,0.1,0.1699999999999999,0.08,0.02,0.73,0.22,0.26,0.02,0.1699999999999999,0.40999999999999,0.7799999999999999,0.3399999999999999,0.49,0.38,0.2299999999999999,0.46999999999999,1,1,0,0,0,0,0,0,0,0
3456,720,3.36,20842,0,0.44,0.29,0.2,0.22,0.02,0.19,0.03,0.1,0.02,0.29,0.1399999999999999,0.49,0.8,0.64,0.42,0.1699999999999999,0.32,1,1,0,0,0,0,0,0,0,0
6570,326,3.82,5580,1,0.59,0.25,0.13,0.0699999999999999,0.01,0.62,0.02,0.0,0.01,0.60999999999999,0.22,0.04,0.1399999999999999,0.26,0.01,0.5499999999999999,0.93999999999999,1,1,0,0,0,0,0,1,0,0
981,160,3.83,16941,0,0.37,0.51,0.11,0.03,0.0,0.33,0.03,0.02,0.0,0.65,0.3899999999999999,0.29,0.27,0.15,0.02,0.36,0.93,1,1,0,0,0,0,0,0,0,0
3399,304,3.88,1046,0,0.0,0.0,0.0,0.81999999999999,0.24,0.49,0.29,0.2299999999999999,0.08,0.01,0.12,0.60999999999999,0.05,0.0699999999999999,0.60999999999999,0.0,0.09,0,0,1,0,0,0,0,0,0,1
307,318,3.9,4207,1,0.5599999999999999,0.05,0.37,0.05,0.11,0.3899999999999999,0.18,0.04,0.01,0.24,0.04,0.05,0.7799999999999999,0.04,0.0,0.79,0.27,0,1,0,0,0,1,0,1,0,0
935,354,3.91,3615,0,0.54,0.09,0.34999999999999,0.0,0.0,0.38,0.05,0.01,0.0,0.54,0.21,0.09,0.3399999999999999,0.1,0.03,0.92,0.83,0,1,0,1,0,0,0,0,0,0
5524,519,3.71,7524,1,0.6,0.2,0.2,0.15,0.01,0.7799999999999999,0.05,0.0,0.01,0.44,0.2799999999999999,0.05,0.6999999999999901,0.13,0.0,0.66,0.72,0,1,0,0,0,0,1,0,0,0
5168,384,3.67,9849,0,0.54,0.18,0.26,0.05,0.0,0.3399999999999999,0.03,0.0,0.0,0.73,0.24,0.05,0.25,0.12,0.0,0.51,0.96,0,1,0,1,0,0,0,0,0,0
411,489,4.09,33483,1,0.6799999999999999,0.12,0.19,0.1399999999999999,0.11,0.5599999999999999,0.21,0.1,0.02,0.38,0.1,0.04,0.95,0.19,0.0,0.65,0.25,0,1,0,0,0,0,1,0,0,0
6239,224,3.79,1193,0,0.43,0.44,0.1,0.0,0.0,0.63,0.02,0.02,0.01,0.11,0.77,0.58,0.03,0.36,0.22,0.06,0.46999999999999,1,1,1,0,0,0,0,0,0,0
1092,561,3.88,22280,1,0.42,0.06,0.5,0.02,0.0,0.21,0.02,0.0,0.0,0.72,0.19,0.03,0.3,0.1399999999999999,0.0,0.8699999999999999,0.93,0,1,0,1,0,0,0,0,0,0
4637,368,4.1,7269,1,0.54,0.0699999999999999,0.37,0.19,0.11,0.48,0.25,0.1399999999999999,0.01,0.19,0.12,0.1399999999999999,0.88,0.0699999999999999,0.0699999999999999,0.76,0.22,0,1,0,0,0,1,1,0,0,0
5045,320,3.95,13332,0,0.5,0.25,0.2299999999999999,0.0,0.0,0.37,0.15,0.06,0.0,0.70999999999999,0.1699999999999999,0.1,0.34999999999999,0.1399999999999999,0.0,0.8099999999999999,0.44,0,1,0,1,0,0,0,0,0,0
4023,311,4.0,1048,0,0.0,0.0,0.0,0.1,0.08,0.7799999999999999,0.3899999999999999,0.6,0.02,0.05,0.12,0.79,0.06,0.1399999999999999,0.33,0.04,0.06,0,0,1,0,0,0,0,0,1,0
1043,384,4.05,9211,0,0.49,0.4599999999999999,0.04,0.2299999999999999,0.03,0.8,0.32,0.26,0.0,0.22,0.18,0.58,0.12,0.2799999999999999,0.40999999999999,0.08,0.13,1,1,0,0,0,1,0,0,0,0
6791,400,4.13,1065,1,0.4499999999999999,0.49,0.04,0.01,0.11,0.81999999999999,0.48,0.5,0.0699999999999999,0.09,0.1399999999999999,0.49,0.29,0.09,0.2299999999999999,0.09,0.01,0,1,1,0,0,0,0,0,0,0
5442,344,3.98,46274,0,0.37,0.53,0.08,0.27,0.42,0.76,0.66,0.38,0.08,0.05,0.31,0.3399999999999999,0.2299999999999999,0.0699999999999999,0.06,0.01,0.01,0,1,0,0,0,0,1,1,0,0
5668,256,3.76,1094,0,0.0,0.0,0.0,0.0,0.02,0.09,0.31,0.31,0.01,0.0,0.0,0.51,0.0,0.13,0.97,0.0,0.0,0,0,1,0,1,0,0,0,0,0
4732,416,3.86,3122,1,0.51,0.18,0.29,0.0,0.0,0.24,0.01,0.02,0.0,0.73,0.2,0.03,0.4,0.2,0.0699999999999999,0.8699999999999999,0.6999999999999901,0,1,0,1,0,0,0,0,0,0
5175,416,3.78,3413,0,0.0,0.0,0.0,0.93,0.7799999999999999,0.05,0.06,0.05,0.22,0.0,0.0,0.3,0.11,0.0,0.4499999999999999,0.0,0.01,1,0,1,0,0,0,0,0,1,1
1141,307,3.96,70170,0,0.4599999999999999,0.37,0.15,0.24,0.15,0.8999999999999999,0.4,0.15,0.03,0.24,0.5,0.2,0.08,0.12,0.0,0.12,0.1699999999999999,0,1,0,0,0,0,0,1,0,0
5383,346,3.82,9831,0,0.0,0.0,0.0,0.01,0.02,0.16,0.36,0.75,0.01,0.01,0.02,0.36,0.1,0.1699999999999999,0.92,0.0,0.0,0,0,1,0,0,1,0,0,1,0
2486,378,4.27,1711,0,0.46999999999999,0.44,0.0699999999999999,0.74,0.6,0.84,0.6999999999999901,0.2799999999999999,0.08,0.01,0.03,0.29,0.04,0.05,0.03,0.0,0.0,1,1,0,0,0,0,0,1,0,0
3715,400,3.68,2776,0,0.44,0.44,0.1,0.29,0.1,0.54,0.04,0.01,0.01,0.59,0.11,0.1,0.0699999999999999,0.09,0.01,0.51,0.54,1,1,0,0,0,0,0,0,0,0
2330,228,3.72,1879,1,0.4499999999999999,0.32,0.21,0.4499999999999999,0.0699999999999999,0.1399999999999999,0.01,0.0,0.03,0.25,0.22,0.36,0.1399999999999999,0.08,0.01,0.6799999999999999,0.6999999999999901,0,1,0,0,0,0,0,0,0,0
4533,370,3.85,6839,1,0.3,0.58,0.09,0.79,0.91,0.31,0.24,0.08,0.24,0.02,0.0,0.03,0.11,0.01,0.03,0.0,0.0,1,1,0,0,0,0,0,1,0,0
2642,384,4.36,3023,0,0.0,0.0,0.0,0.34999999999999,0.29,0.37,0.8,0.89,0.11,0.0,0.03,0.81999999999999,0.02,0.13,0.54,0.0,0.0,0,0,1,0,1,0,0,0,0,0
1971,304,4.26,8583,0,0.0,0.0,0.0,0.22,0.2,0.1,0.21,0.83,0.02,0.01,0.0,0.22,0.84,0.06,0.74,0.03,0.0,0,0,1,0,0,0,0,0,0,1
3505,320,4.08,18933,0,0.0,0.0,0.0,0.81999999999999,0.24,0.1399999999999999,0.04,0.27,0.02,0.05,0.03,0.46999999999999,0.40999999999999,0.04,0.6999999999999901,0.0,0.24,0,0,1,0,0,0,0,0,1,0
4063,462,4.23,11542,1,0.60999999999999,0.12,0.26,0.11,0.0,0.31,0.06,0.05,0.0,0.5,0.05,0.29,0.75,0.36,0.04,0.60999999999999,0.15,0,1,0,0,0,1,0,0,0,0
4075,342,4.16,2404,1,0.72,0.11,0.16,0.34999999999999,0.32,0.62,0.32,0.04,0.05,0.2299999999999999,0.02,0.04,0.76,0.02,0.02,0.48,0.0699999999999999,0,1,1,0,0,1,0,1,0,0
2268,288,3.98,2220,0,0.13,0.8,0.03,0.09,0.37,0.36,0.62,0.77,0.19,0.0,0.02,0.8699999999999999,0.08,0.06,0.3899999999999999,0.0,0.0,1,1,0,0,0,0,1,0,0,0
2875,355,4.28,15927,1,0.58,0.1399999999999999,0.26,0.96,0.70999999999999,0.03,0.12,0.08,0.09,0.03,0.0,0.0699999999999999,0.8500000000000001,0.01,0.0,0.15,0.01,0,1,0,0,0,0,0,0,0,0
2646,85,4.26,4087,0,0.0,0.0,0.0,0.0,0.0,0.67,0.11,0.24,0.0,0.05,0.21,0.81999999999999,0.0,0.44,0.48,0.0,0.08,0,0,1,0,0,1,0,0,1,0
4786,456,4.09,2237,1,0.6799999999999999,0.21,0.09,0.13,0.01,0.67,0.08,0.06,0.0,0.53,0.21,0.03,0.84,0.2799999999999999,0.0,0.5499999999999999,0.8099999999999999,0,1,0,0,0,0,0,1,0,0
2511,160,3.37,1076,0,0.1399999999999999,0.79,0.05,0.18,0.01,0.22,0.01,0.0,0.02,0.33,0.1,0.36,0.13,0.18,0.02,0.0699999999999999,0.72,1,1,0,0,0,0,0,1,0,0
575,128,3.39,1658,0,0.29,0.52,0.11,0.15,0.04,0.03,0.0,0.0,0.02,0.1399999999999999,0.0699999999999999,0.5599999999999999,0.05,0.2799999999999999,0.02,0.74,0.29,1,1,0,0,0,0,0,0,0,0
269,416,4.29,5276,0,0.69,0.08,0.11,0.19,0.04,0.4499999999999999,0.34999999999999,0.26,0.03,0.21,0.1,0.51,0.7799999999999999,0.4499999999999999,0.03,0.44,0.4,1,1,0,0,0,0,0,0,0,0
2363,448,3.56,3415,0,0.4,0.53,0.05,0.03,0.03,0.75,0.04,0.03,0.0,0.18,0.63,0.4499999999999999,0.06,0.15,0.02,0.1699999999999999,0.5,1,1,1,0,0,0,0,0,0,0
3061,465,3.92,3126,0,0.32,0.62,0.04,0.13,0.0,0.77,0.15,0.13,0.0,0.18,0.3899999999999999,0.5,0.19,0.26,0.13,0.6,0.8,0,1,0,0,0,0,0,1,0,0
1097,191,3.71,1965,0,0.06,0.86,0.04,0.0,0.0,0.73,0.0,0.0,0.0,0.25,0.6999999999999901,0.6799999999999999,0.05,0.2799999999999999,0.0,0.11,0.52,1,1,0,0,0,1,0,0,0,0
6722,261,3.91,7060,0,0.2799999999999999,0.60999999999999,0.09,0.0,0.0,0.66,0.08,0.01,0.0,0.38,0.49,0.49,0.0699999999999999,0.2299999999999999,0.06,0.60999999999999,0.65,1,1,0,0,0,0,0,0,0,0
3128,306,3.84,1760,1,0.63,0.09,0.26,0.19,0.08,0.44,0.06,0.03,0.01,0.43,0.04,0.03,0.98,0.06,0.0,0.19,0.11,0,1,0,0,0,1,1,0,0,0
676,384,4.12,12759,1,0.36,0.56999999999999,0.06,0.60999999999999,0.37,0.88,0.5499999999999999,0.40999999999999,0.04,0.04,0.2799999999999999,0.22,0.15,0.11,0.1,0.0,0.02,1,1,0,0,0,0,0,1,0,0
