,index_0,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism,Crime_mix,Fantasy_adventurous,Fantasy_author_stars,Fantasy_inspiring,Fantasy_mix,Fiction_adventurous,Fiction_author_stars,Fiction_challenging,Fiction_character,Fiction_dark,Fiction_emotional,Fiction_hopeful,Fiction_inspiring,Fiction_mix,Fiction_mysterious,Fiction_plot,Fiction_reflective,Fiction_sad,Fiction_tense,Literary_author_stars,Literary_emotional,Literary_inspiring,Literary_mix,Literary_mysterious,Literary_sad,Nonfiction_author_stars,Nonfiction_challenging,Nonfiction_hopeful,Romans_author_stars,Social_author_stars,series_adventurous,series_author_stars,series_emotional,series_mix
10,10,484,4.43,9422,1,0.36,0.58,0.04,0.75,0.6799999999999999,0.83,0.51,0.24,0.1399999999999999,0.02,0.1,0.1399999999999999,0.0699999999999999,0.04,0.0,0.0,0.0,3,4.234999999999999,1,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,4.234999999999999,0.04,0.58,0.0,0.83,0.51,0.24,0.36,0.0,0.04,0.1399999999999999,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.234999999999999,0.04,0.51,4.234999999999999,0.0,0.0699999999999999,4.234999999999999,0.83,0.36
11,11,623,3.96,6087,1,0.58,0.08,0.32,0.08,0.0,0.25,0.0,0.04,0.0,0.54,0.24,0.15,0.6999999999999901,0.51,0.01,0.56999999999999,0.89,5,3.9025,1,0,0,1,0,0,0,0,0,0.0,0.6999999999999901,3.9025,0.04,0.58,0.6999999999999901,3.9025,0.51,0.08,0.89,0.25,0.0,0.04,0.58,0.56999999999999,0.32,0.15,0.24,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999901,3.9025,0.25,0.58
12,12,232,4.12,26660,0,0.0,0.0,0.0,0.34999999999999,0.02,0.8,0.1,0.09,0.01,0.1,0.46999999999999,0.83,0.01,0.3,0.0699999999999999,0.02,0.43,4,4.063333333333333,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.063333333333333,0.3,0.1,0.0,4.063333333333333,0.0,0.0,0.0,0.0
13,13,352,3.62,3019,1,0.48,0.06,0.43,0.02,0.03,0.4499999999999999,0.22,0.09,0.02,0.3399999999999999,0.1,0.09,0.93,0.12,0.01,0.3899999999999999,0.32,3,3.84,1,0,0,1,0,0,1,0,0,0.0,0.93,3.84,0.09,0.48,0.93,3.84,0.12,0.06,0.32,0.4499999999999999,0.22,0.09,0.48,0.3899999999999999,0.43,0.09,0.1,0.3399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,3.84,0.4499999999999999,0.48
14,14,455,3.88,2431,1,0.67,0.09,0.22,0.08,0.03,0.53,0.1699999999999999,0.13,0.0,0.4,0.18,0.13,0.96,0.19,0.05,0.4499999999999999,0.34999999999999,2,3.74,1,0,0,1,0,0,1,0,0,0.0,0.96,3.74,0.13,0.67,0.96,3.74,0.19,0.09,0.34999999999999,0.53,0.1699999999999999,0.13,0.67,0.4499999999999999,0.22,0.13,0.18,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.74,0.53,0.67
15,15,176,3.95,3000,0,0.0,0.0,0.0,0.03,0.08,0.65,0.49,0.70999999999999,0.09,0.03,0.12,0.73,0.18,0.13,0.03,0.0699999999999999,0.22,2,3.95,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.65,0.70999999999999,0.0,0.0699999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,186,3.67,24336,1,0.1399999999999999,0.8,0.04,0.32,0.6799999999999999,0.43,0.48,0.6,0.13,0.02,0.15,0.43,0.16,0.03,0.0,0.0699999999999999,0.0,1,0.0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.03,0.8,0.0,0.43,0.48,0.6,0.1399999999999999,0.0699999999999999,0.04,0.43,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.43,0.1399999999999999
17,17,224,3.74,4203,0,0.1,0.88,0.01,0.05,0.0,0.44,0.04,0.02,0.0,0.2299999999999999,0.44,0.58,0.1,0.44,0.0,0.4,0.88,3,3.31,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,3.31,0.44,0.88,0.88,0.44,0.04,0.02,0.1,0.4,0.01,0.58,0.44,0.2299999999999999,3.31,0.44,0.02,0.1,0.4,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,384,3.7,31926,1,0.5499999999999999,0.27,0.16,0.04,0.01,0.4,0.03,0.0,0.0,0.6,0.12,0.02,0.29,0.1399999999999999,0.0,0.43,0.97,3,3.78,1,0,0,0,1,0,0,1,0,0.5499999999999999,0.0,0.0,0.0,0.0,0.29,3.78,0.1399999999999999,0.27,0.97,0.4,0.03,0.0,0.5499999999999999,0.43,0.16,0.02,0.12,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.29,3.78,0.4,0.5499999999999999
19,19,399,3.89,1212,0,0.2799999999999999,0.58,0.12,0.25,0.0699999999999999,0.84,0.1399999999999999,0.03,0.03,0.12,0.74,0.19,0.2,0.12,0.03,0.1399999999999999,0.56999999999999,2,3.36,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.2,3.36,0.12,0.58,0.56999999999999,0.84,0.1399999999999999,0.03,0.2799999999999999,0.1399999999999999,0.12,0.19,0.74,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,592,3.75,4888,1,0.53,0.22,0.22,0.01,0.0,0.18,0.1699999999999999,0.22,0.01,0.32,0.0699999999999999,0.4,0.8,0.56999999999999,0.43,0.15,0.21,3,3.755,1,0,0,1,0,0,0,0,0,0.0,0.8,3.755,0.22,0.53,0.8,3.755,0.56999999999999,0.22,0.21,0.18,0.1699999999999999,0.22,0.53,0.15,0.22,0.4,0.0699999999999999,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.755,0.18,0.53
21,21,226,3.68,60172,0,0.3899999999999999,0.4599999999999999,0.13,0.36,0.05,0.19,0.0,0.0,0.0,0.48,0.08,0.1399999999999999,0.08,0.09,0.0,0.33,0.8999999999999999,1,0.0,1,0,0,0,1,0,0,0,1,0.3899999999999999,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.4599999999999999,0.8999999999999999,0.19,0.0,0.0,0.3899999999999999,0.33,0.13,0.1399999999999999,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,187,3.76,9267,0,0.5,0.1,0.3,0.04,0.0,0.16,0.0,0.0,0.0,0.5599999999999999,0.1699999999999999,0.15,0.0699999999999999,0.21,0.0,0.74,0.97,4,4.073333333333333,1,0,1,1,0,0,0,0,0,0.0,0.0699999999999999,4.073333333333333,0.0,0.5,0.0699999999999999,4.073333333333333,0.21,0.1,0.97,0.16,0.0,0.0,0.5,0.74,0.3,0.15,0.1699999999999999,0.5599999999999999,4.073333333333333,0.16,0.0,0.5,0.74,0.1699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,144,4.06,2021,0,0.0,0.0,0.0,0.65,0.6799999999999999,0.12,0.09,0.34999999999999,0.4499999999999999,0.0,0.0,0.66,0.01,0.02,0.54,0.0,0.0,2,4.23,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.12,0.34999999999999,0.0,0.0,0.0,4.23,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0
24,24,292,4.18,16311,0,0.56999999999999,0.1399999999999999,0.27,0.51,0.16,0.32,0.26,0.09,0.03,0.16,0.0699999999999999,0.06,0.92,0.06,0.0,0.31,0.59,16,4.0633333333333335,1,0,0,1,0,0,0,0,0,0.0,0.92,4.0633333333333335,0.09,0.56999999999999,0.92,4.0633333333333335,0.06,0.1399999999999999,0.59,0.32,0.26,0.09,0.56999999999999,0.31,0.27,0.06,0.0699999999999999,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,320,4.03,1017,0,0.0,0.0,0.0,0.89,0.42,0.1,0.52,0.36,0.0,0.0,0.0,0.52,0.0,0.05,0.6799999999999999,0.0,0.0,1,0.0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.52,0.0,0.0,0.0,0.0,0.0,0.0
26,26,463,4.31,1292,0,0.37,0.52,0.09,0.06,0.03,0.92,0.46999999999999,0.27,0.01,0.21,0.42,0.4,0.24,0.21,0.02,0.2799999999999999,0.29,1,0.0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.21,0.52,0.29,0.92,0.46999999999999,0.27,0.37,0.2799999999999999,0.09,0.4,0.42,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,496,4.18,7666,1,0.36,0.5599999999999999,0.06,0.77,0.7799999999999999,0.58,0.29,0.13,0.16,0.04,0.08,0.08,0.0699999999999999,0.03,0.0,0.01,0.02,8,3.7642857142857142,1,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,3.7642857142857142,0.03,0.5599999999999999,0.02,0.58,0.29,0.13,0.36,0.01,0.06,0.08,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.7642857142857142,0.03,0.29,3.7642857142857142,0.0,0.0699999999999999,3.7642857142857142,0.58,0.36
